,id,query,related_url,title,arbitration
0,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/28977308,Read all lines with BufferedReader,1
1,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/7328491,How to read file bytes in Java?,0
2,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/26245061,Read bytes from file Java,0
3,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/27383126,trying to get BufferedReader to read past first line,0
4,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/17179952,Read String and bytes from the same file java,1
5,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/5077304,How do I read file x bytes at a time ? in java,0
6,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/20155829,"How do I read the last ""n"" bytes of a file in Java",0
7,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/4768933,Read two bytes into an integer?,0
8,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/14381880,Read First 4 Bytes of File,0
9,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/34054655,How to read bytes from a file to a byte[] array?,1
10,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/28109165,javafx application write log to file,1
11,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/26083904,how to display a map in a java swing application?,0
12,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/10601676,Display a webpage inside a swing application,0
13,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/34412364,Display webpage inside swing application,0
14,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/651470,How to convert a Swing Application to an Applet?,0
15,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/24363503,Converting a console app to a swing app,0
16,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/1043671,Swing application problem,0
17,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/9790887,Tool to convert a Java Swing application into applet,0
18,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/17365378,Display Java System Properties with Swing,0
19,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/11852942,Add an image to a Swing application,0
20,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/31423037,java.lang.NoSuchMethodError: org.eclipse.persistence.oxm.XMLUnmarshaller.setNamespaceResolver(Lorg/eclipse/persistence/oxm/NamespaceResolver;),0
21,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/30723370,java.lang.NoSuchMethodError: javax.ws.rs.core.Application.getProperties()Ljava/util/Map,0
22,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/20799326,java.lang.NoSuchMethodError: org.apache.xmlbeans.XmlOptions.setSaveAggressiveNamespaces()Lorg/apache/xmlbeans/XmlOptions;,0
23,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/31109787,java.lang.NoSuchMethodError: spring.service.UserServiceImpl.addUser(Lspring/model/User;)V,0
24,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/22167945,java.lang.NoSuchMethodError: javax.persistence.spi.PersistenceUnitInfo.getValidationMode()Ljavax/persistence/ValidationMode;,0
25,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/32034329,Spring java.lang.NoSuchMethodError: org.springframework.expression.spel.SpelParserConfiguration,0
26,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/8611777,java.lang.NoSuchMethodError: javax.servlet.ServletContext.getContextPath()Ljava/lang/String;,0
27,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/32180358,java.lang.NoSuchMethodError: com.google.common.io.Closeables.closeQuietly(Ljava/io/Closeable;)V,0
28,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/18231134,How to avoid java.lang.NoSuchMethodError: org.apache.poi.util.IOUtils.copy(Ljava/io/InputStream;Ljava/io/OutputStream;) in Apache POI,0
29,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/8799121,java.lang.NoSuchMethodError: org.hibernate.SessionFactory.openSession()Lorg/hibernate/classic/Session,0
30,15315213,Why do I keep getting java.net.ConnectException in my Android application?,https://stackoverflow.com/questions/33448995,Tomcat : java.net.ConnectException: Connection refused,1
